filepath,relative_path,split,class,filename,size_bytes,hash,width,height,mode,status,error,selected_for_calibration
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge10.png,datasets/calibration/dataset/train/bridge/bridge10.png,train,bridge,bridge10.png,52936,ec6738d8d8b057bc46068eaa6bfe921d8291799b68fb5a1e2272d4b4f8fd6331,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge104.png,datasets/calibration/dataset/train/bridge/bridge104.png,train,bridge,bridge104.png,35101,09c7e957058fc076810d1bf7e8146d3bf8a10ba259012bbaf2762421d99e2717,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge105.png,datasets/calibration/dataset/train/bridge/bridge105.png,train,bridge,bridge105.png,50464,31c599020dbf71d6fa43c845499786da0b92d55e5b9c9dc4f40bb3711a7f1edc,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge107.png,datasets/calibration/dataset/train/bridge/bridge107.png,train,bridge,bridge107.png,46132,9f9be7774a5dbb877930293fe7f9f29322b24732bd8dc5d374b3d6ab6ecc39e3,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge108.png,datasets/calibration/dataset/train/bridge/bridge108.png,train,bridge,bridge108.png,47906,bb58852d24ba0cca34698320ff0ea108be64fbdd29187aabe8e5d31783a89b99,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge11.png,datasets/calibration/dataset/train/bridge/bridge11.png,train,bridge,bridge11.png,54115,4fc212a9364f99e1c2ce697f803b9051fb0ff0de32e37a9e5c8f68c6fa4dc7f1,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge111.png,datasets/calibration/dataset/train/bridge/bridge111.png,train,bridge,bridge111.png,35252,dd5c51e0ebfe375eeac6a903432a9c6c0a420f376d480526dc870cbbeb6ff634,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge113.png,datasets/calibration/dataset/train/bridge/bridge113.png,train,bridge,bridge113.png,51664,9757c3575c889747055eca06b5284d59dc41cbb8c8032df9adbf2a4eb823e9b2,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge114.png,datasets/calibration/dataset/train/bridge/bridge114.png,train,bridge,bridge114.png,48538,1c580605a7004c231715bc372cee385940b3dbdb56a433892b0303793c372cc9,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge115.png,datasets/calibration/dataset/train/bridge/bridge115.png,train,bridge,bridge115.png,51078,eeff865bcdad8ee994c10f3fb802123dc7d3ac69f089edfbdcbb3b636d9bec0c,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge116.png,datasets/calibration/dataset/train/bridge/bridge116.png,train,bridge,bridge116.png,42227,769919dc2e39cd2669293b57f6b9e22a0205e95875b576294b6a364811d2a7d4,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge117.png,datasets/calibration/dataset/train/bridge/bridge117.png,train,bridge,bridge117.png,42099,d2e4b2c0c5438e666170330d5b14c87fd23a7ff9bd3c77261ca52c4a5b03a422,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge118.png,datasets/calibration/dataset/train/bridge/bridge118.png,train,bridge,bridge118.png,45971,86a3c1e7fadfdcb02549e59e980faced29b667c3be07155a6f44ea44ac2a5fee,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge12.png,datasets/calibration/dataset/train/bridge/bridge12.png,train,bridge,bridge12.png,40765,b67b08b03640c9ed698eff4c13b0259f173050e3a440ef07ddf2c08f3b724438,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge120.png,datasets/calibration/dataset/train/bridge/bridge120.png,train,bridge,bridge120.png,34609,70ff5801b8a33dd063518be0b0b82ee87ae4853db358896bc0580c7a47ed5cdf,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge121.png,datasets/calibration/dataset/train/bridge/bridge121.png,train,bridge,bridge121.png,36654,caade7482b1172eac2548ced276d8583fb8013e11efd8fb14bfd4233e6ba3978,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge122.png,datasets/calibration/dataset/train/bridge/bridge122.png,train,bridge,bridge122.png,43738,eeb57acccedf5f65c5bf3b79054ef1cf55d6c965e21003f75ed815aa3bff2ac9,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge123.png,datasets/calibration/dataset/train/bridge/bridge123.png,train,bridge,bridge123.png,47255,47ade80dde4d01256e0b3c5e1f30f5eac7ef7ca4ef891e28336f82049dbb6545,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge124.png,datasets/calibration/dataset/train/bridge/bridge124.png,train,bridge,bridge124.png,51389,9cefd1dc1b1160194fb971a28f79aa89944537a20777e36500e084688b3e524b,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge125.png,datasets/calibration/dataset/train/bridge/bridge125.png,train,bridge,bridge125.png,29255,d1b0a8ba9b46f434c7f4ec54dd2e063b6923902bbd13dd448835fbc5f9250e94,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge126.png,datasets/calibration/dataset/train/bridge/bridge126.png,train,bridge,bridge126.png,59389,030e2bb5ad1ba159239360e92441cb37684dda6e3c7af9d37143a4a3bd91b774,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge127.png,datasets/calibration/dataset/train/bridge/bridge127.png,train,bridge,bridge127.png,44620,efd843dcdea265dd4dc7075d4486465a6f315035ad1feb30ead6920a673e8d39,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge128.png,datasets/calibration/dataset/train/bridge/bridge128.png,train,bridge,bridge128.png,59046,3872087ed060e098c1c51c8e9c037866f903f8e20e9b293da5e694bfafc4ce50,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge129.png,datasets/calibration/dataset/train/bridge/bridge129.png,train,bridge,bridge129.png,52165,c4ece4b91cd75653fae40fec130391ef551b3f8c77de5ea18db98026b94fe17c,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge130.png,datasets/calibration/dataset/train/bridge/bridge130.png,train,bridge,bridge130.png,47377,3ab6c24263b01227edb25c5fe126be7016b91309b63d15069757e74eb4fc7c7b,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge131.png,datasets/calibration/dataset/train/bridge/bridge131.png,train,bridge,bridge131.png,45589,af2a7abfe1f57b43cd76bd2887a82e68d9eff7ddf15286e9b2838b5e46290cf4,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge132.png,datasets/calibration/dataset/train/bridge/bridge132.png,train,bridge,bridge132.png,47537,b54fd2f5d4de0c0cf90073dd5f51b6fd0e91ff0e5d96c423ba5b07d8347fecac,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge133.png,datasets/calibration/dataset/train/bridge/bridge133.png,train,bridge,bridge133.png,47862,405507c3ba103afc9253e1e38b9a5f1afa277582426ab390d68eea20df572564,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge135.png,datasets/calibration/dataset/train/bridge/bridge135.png,train,bridge,bridge135.png,46451,cdb3914e30238566bed6d54e34b727fbbf0e9b0d4d23aa71c980ad685a332613,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge136.png,datasets/calibration/dataset/train/bridge/bridge136.png,train,bridge,bridge136.png,36646,66ab04f458a561bf36172dd815dad53790088ee4f0d73785deac6eb775552806,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge137.png,datasets/calibration/dataset/train/bridge/bridge137.png,train,bridge,bridge137.png,44871,5bdf7491d7093190585a4acf384018ce7994de045da794bba66d6cf8e1b85f86,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge138.png,datasets/calibration/dataset/train/bridge/bridge138.png,train,bridge,bridge138.png,47438,437b1285133859ebcae0de842aa153e6b85c966b19ef70e3024796e13cf215d0,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge139.png,datasets/calibration/dataset/train/bridge/bridge139.png,train,bridge,bridge139.png,46147,82b9bbfaf57b29357c01f0f3251f79014e5f95cf2809cfb606a77781c5e02fb8,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge140.png,datasets/calibration/dataset/train/bridge/bridge140.png,train,bridge,bridge140.png,52180,8b10e2d2dccaaa2a2ac8597cecc335dd16210e280a3ec1e2fe6d1cdb1d8c5bd4,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge141.png,datasets/calibration/dataset/train/bridge/bridge141.png,train,bridge,bridge141.png,44835,be310c3d8999c78390ce5d655b36faedc8662095192da92d3910fb043bdd607c,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge144.png,datasets/calibration/dataset/train/bridge/bridge144.png,train,bridge,bridge144.png,38630,4a0742998d3d1b9e3698bac478c028bbc8f410f5760b981a8064e0caedb608fe,256,256,L,valid,,False
