rank,layer_name,onnx_node_name,tflite_tensor_idx,block_name,operator_type,semantic_category,weight_params,weight_mae,weight_rmse,weight_cosine,weight_quant_type,activation_mae,activation_rmse,activation_cosine,activation_scale,activation_zero_point,clipping_rate,sensitivity_score,recommendation
1,features/features.11/block/block.2/fc2/Conv,/features/features.11/block/block.2/fc2/Conv,325,features.11,Conv,se_fc2,82944,0.06817849908098268,0.0884491617030215,0.9999640934439785,per-channel,2.361626958847046,2.4458894777297973,-0.44922685734927653,0.005894026719033718,-43,0.0005902777777777778,0.8797569520286928,QAT CANDIDATE
2,features/features.10/block/block.2/fc2/Conv,/features/features.10/block/block.2/fc2/Conv,305,features.10,Conv,se_fc2,82944,0.06307850893802494,0.08366886735781622,0.9999600464288809,per-channel,2.364416174888611,2.450220136642456,-0.35529756784439087,0.005884097423404455,-43,0.0018055555555555555,0.8423075734075357,QAT CANDIDATE
3,features/features.6/block/block.2/fc2/Conv,/features/features.6/block/block.2/fc2/Conv,226,features.6,Conv,se_fc2,15360,0.08216896256653333,0.11938969375994968,0.9999619692524616,per-channel,1.7845873403549195,1.9565550374984741,-0.2001832379028201,0.006566463503986597,-25,0.004583333333333333,0.780539234643969,QAT CANDIDATE
4,features/features.8/block/block.2/fc2/Conv,/features/features.8/block/block.2/fc2/Conv,265,features.8,Conv,se_fc2,5760,0.10376555065357643,0.13913371724762474,0.999981195956537,per-channel,1.8926917386054993,2.0613762617111204,-0.12279827564954758,0.004899199586361647,-77,0.008472222222222223,0.7499702932907338,QAT CANDIDATE
5,features/features.9/block/block.2/fc2/Conv,/features/features.9/block/block.2/fc2/Conv,286,features.9,Conv,se_fc2,20736,0.07311339081642607,0.09852432012667739,0.9999720021187934,per-channel,1.5451039695739746,1.7201724338531494,0.024083161104936152,0.006545547861605883,-26,0.02236111111111111,0.6926084462453781,QAT CANDIDATE
6,features/features.1/block/block.1/fc2/Conv,/features/features.1/block/block.1/fc2/Conv,159,features.1,Conv,se_fc2,128,0.00021061136524349802,0.0006334450135293465,1.0,per-channel,0.5814943313598633,0.7156714200973511,0.21500812470912933,0.002851215424016118,-128,0.0625,0.6202467501163483,QAT CANDIDATE
7,features/features.5/block/block.2/fc2/Conv,/features/features.5/block/block.2/fc2/Conv,206,features.5,Conv,se_fc2,15360,0.08885009759593968,0.13506960978064345,0.9999578418805701,per-channel,1.9572524261474609,2.2637323427200315,0.245786005333066,0.012921774759888649,50,0.024666666666666667,0.6041606961573263,QAT CANDIDATE
8,classifier/classifier.1/Mul,/classifier/classifier.1/Mul,347,classifier,Mul,hardswish,0,0.0,0.0,1.0,N/A,0.6192343974113464,0.9708755433559417,0.40749579921364787,0.034586455672979355,-117,0.12599609375,0.5496012896895409,QAT CANDIDATE
9,features/features.5/block/block.1/block.1.2/Mul,/features/features.5/block/block.1/block.1.2/Mul,203,features.5,Mul,hardswish,0,0.0,0.0,1.0,N/A,0.32138919532299043,0.6607487934827805,0.44299022704362867,0.11667858064174652,-125,0.26186588541666667,0.5489904977242152,QAT CANDIDATE
10,features/features.11/block/block.3/block.3.0/Conv,/features/features.11/block/block.3/block.3.0/Conv,329,features.11,Conv,project_conv,55296,0.002464800551435872,0.0029413514468070133,0.9999647361366654,per-channel,0.6307761460542679,0.83995421230793,0.39247812937945126,0.07532671838998795,1,0.0,0.5430158010208864,QAT CANDIDATE
